200 ['154', '2424869', '1079875', 'fr']
200 ['155', '70', '1080245', 'de']
200 ['156', '2424870', '1080245', 'fr']
200 ['158', '2424871', '1080350', 'fr']
200 ['159', '2424872', '1080601', 'fr']
200 ['157', '71', '1080350', 'de']
200 ['161', '72', '1080814', 'de']
200 ['162', '2424873', '1080814', 'fr']
404 ['160', '4980667', '1080601', 'it']
200 ['163', '2424874', '1081373', 'fr']
404 ['164', '4980668', '1081373', 'it']
200 ['165', '73', '000108142X', 'de']
200 ['166', '7536532', '000108142X', 'es']
200 ['167', '2424875', '000108142X', 'fr']
200 ['168', '74', '1081470', 'de']
200 ['169', '2424876', '1081470', 'fr']
200 ['170', '75', '000108173X', 'de']
200 ['171', '2424877', '000108173X', 'fr']
200 ['172', '2424878', '000108299X', 'fr']
200 ['173', '4980669', '000108299X', 'it']
200 ['174', '76', '1083309', 'de']
200 ['175', '2424879', '1083309', 'fr']
200 ['176', '77', '1083414', 'de']
200 ['177', '2424880', '1083414', 'fr']
200 ['179', '2424881', '1083902', 'fr']
200 ['178', '78', '1083902', 'de']
200 ['180', '79', '1084615', 'de']
200 ['181', '2424882', '1084615', 'fr']
200 ['182', '80', '1084704', 'de']
200 ['183', '2424883', '1084704', 'fr']
200 ['184', '81', '1085190', 'de']
200 ['185', '2424884', '1085190', 'fr']
200 ['186', '2424885', '1085549', 'fr']
200 ['188', '82', '1085727', 'de']
404 ['187', '4980670', '1085549', 'it']
200 ['189', '2424886', '1085727', 'fr']
200 ['190', '2424887', '1085840', 'fr']
200 ['192', '2424888', '1086413', 'fr']
404 ['191', '4980671', '1085840', 'it']
404 ['193', '4980672', '1086413', 'it']
200 ['194', '83', '1086553', 'de']
200 ['195', '2424889', '1086553', 'fr']
200 ['196', '2424890', '000108657X', 'fr']
200 ['197', '4980673', '000108657X', 'it']
200 ['199', '2424891', '000108660X', 'fr']
200 ['198', '84', '000108660X', 'de']
200 ['200', '85', '000108688X', 'de']
200 ['201', '2424892', '000108688X', 'fr']
200 ['202', '86', '1087061', 'de']
404 ['203', '2424893', '1087061', 'fr']
200 ['204', '87', '1087126', 'de']
200 ['205', '2424894', '1087126', 'fr']
200 ['206', '2424895', '1087177', 'fr']
404 ['207', '4980674', '1087177', 'it']
200 ['208', '88', '1087320', 'de']
200 ['209', '2424896', '1087320', 'fr']
200 ['210', '89', '1087495', 'de']
200 ['211', '2424897', '1087495', 'fr']
200 ['212', '90', '1088114', 'de']
200 ['213', '2424898', '1088114', 'fr']
200 ['215', '2424899', '1088335', 'fr']
200 ['214', '91', '1088335', 'de']
200 ['216', '2424900', '1088351', 'fr']
404 ['217', '4980675', '1088351', 'it']
200 ['218', '92', '000108898X', 'de']
200 ['219', '2424901', '000108898X', 'fr']
200 ['220', '2424902', '1089013', 'fr']
404 ['221', '4980676', '1089013', 'it']
200 ['222', '93', '000108917X', 'de']
200 ['223', '2424903', '000108917X', 'fr']
200 ['224', '94', '1089951', 'de']
200 ['225', '2424904', '1089951', 'fr']
200 ['226', '95', '1090224', 'de']
200 ['227', '2424905', '1090224', 'fr']
200 ['228', '96', '1090283', 'de']
200 ['229', '2424906', '1090283', 'fr']
200 ['230', '97', '1090941', 'de']
200 ['231', '2424907', '1090941', 'fr']
200 ['232', '98', '1091182', 'de']
200 ['233', '2424908', '1091182', 'fr']
200 ['234', '99', '1091425', 'de']
200 ['235', '2424909', '1091425', 'fr']
200 ['236', '100', '1091662', 'de']
200 ['237', '2424910', '1091662', 'fr']
200 ['238', '101', '1091832', 'de']
200 ['239', '2424911', '1091832', 'fr']
200 ['240', '102', '1092006', 'de']
200 ['241', '2424912', '1092006', 'fr']
200 ['242', '103', '1092014', 'de']
200 ['243', '2424913', '1092014', 'fr']
200 ['245', '2424914', '1092049', 'fr']
200 ['244', '104', '1092049', 'de']
200 ['246', '105', '000109212X', 'de']
200 ['247', '2424915', '000109212X', 'fr']
200 ['248', '106', '1092138', 'de']
200 ['249', '2424916', '1092138', 'fr']
200 ['250', '107', '1092227', 'de']
200 ['251', '2424917', '1092227', 'fr']
200 ['252', '108', '1092286', 'de']
200 ['253', '2424918', '1092286', 'fr']
200 ['254', '109', '000109257X', 'de']
200 ['256', '110', '1093002', 'de']
200 ['255', '2424919', '000109257X', 'fr']
200 ['257', '2424920', '1093002', 'fr']
200 ['258', '111', '1093134', 'de']
200 ['259', '2424921', '1093134', 'fr']
200 ['260', '112', '1093800', 'de']
200 ['261', '2424922', '1093800', 'fr']
200 ['263', '2424923', '000109453X', 'fr']
200 ['262', '113', '000109453X', 'de']
200 ['264', '114', '1094556', 'de']
200 ['265', '2424924', '1094556', 'fr']
200 ['266', '115', '1094580', 'de']
200 ['267', '2424925', '1094580', 'fr']
200 ['268', '116', '1095072', 'de']
200 ['269', '2424926', '1095072', 'fr']
200 ['270', '117', '1095293', 'de']
200 ['271', '2424927', '1095293', 'fr']
200 ['273', '2424928', '1095579', 'fr']
200 ['272', '118', '1095579', 'de']
200 ['274', '119', '1095951', 'de']
200 ['275', '2424929', '1095951', 'fr']
200 ['276', '2424930', '1096168', 'fr']
200 ['279', '2424931', '1096303', 'fr']
404 ['277', '4980677', '1096168', 'it']
200 ['278', '120', '1096303', 'de']
200 ['280', '121', '1096478', 'de']
200 ['281', '2424932', '1096478', 'fr']
200 ['282', '122', '1097784', 'de']
200 ['283', '2424933', '1097784', 'fr']
200 ['285', '2424934', '000109825X', 'fr']
200 ['286', '124', '1098284', 'de']
200 ['284', '123', '000109825X', 'de']
200 ['287', '2424935', '1098284', 'fr']
200 ['288', '125', '1098691', 'de']
200 ['289', '2424936', '1098691', 'fr']
200 ['290', '2424937', '1099183', 'fr']
200 ['292', '126', '1099515', 'de']
200 ['293', '2424938', '1099515', 'fr']
404 ['291', '4980678', '1099183', 'it']
200 ['294', '2424939', '1100505', 'fr']
404 ['295', '4980679', '1100505', 'it']
200 ['296', '127', '1100726', 'de']
200 ['297', '2424940', '1100726', 'fr']
200 ['298', '128', '1100742', 'de']
200 ['299', '2424941', '1100742', 'fr']
200 ['300', '129', '1100777', 'de']
200 ['301', '2424942', '1100777', 'fr']
200 ['302', '130', '1102249', 'de']
200 ['303', '2424943', '1102249', 'fr']
200 ['304', '131', '1103148', 'de']
200 ['305', '2424944', '1103148', 'fr']
200 ['306', '132', '1103369', 'de']
200 ['307', '2424945', '1103369', 'fr']
200 ['308', '133', '1106538', 'de']
200 ['309', '2424946', '1106538', 'fr']
200 ['310', '134', '1106597', 'de']
200 ['311', '2424947', '1106597', 'fr']
200 ['313', '2424948', '1106740', 'fr']
200 ['312', '135', '1106740', 'de']
200 ['315', '2424949', '1106775', 'fr']
200 ['314', '136', '1106775', 'de']
200 ['316', '137', '1106929', 'de']
200 ['317', '2424950', '1106929', 'fr']
200 ['318', '138', '1106996', 'de']
200 ['320', '139', '1107046', 'de']
200 ['319', '2424951', '1106996', 'fr']
200 ['321', '2424952', '1107046', 'fr']
200 ['322', '140', '1107178', 'de']
200 ['323', '2424953', '1107178', 'fr']
200 ['325', '2424954', '1107267', 'fr']
200 ['324', '141', '1107267', 'de']
200 ['326', '142', '000110733X', 'de']
200 ['327', '2424955', '000110733X', 'fr']
200 ['328', '143', '1109596', 'de']
200 ['329', '2424956', '1109596', 'fr']
200 ['330', '144', '1109634', 'de']
200 ['331', '2424957', '1109634', 'fr']
200 ['332', '145', '1109693', 'de']
200 ['333', '2424958', '1109693', 'fr']
200 ['334', '146', '1109723', 'de']
200 ['335', '7536533', '1109723', 'es']
200 ['336', '2424959', '1109723', 'fr']
200 ['337', '2424960', '1112031', 'fr']
404 ['338', '4980680', '1112031', 'it']
200 ['339', '147', '000111252X', 'de']
200 ['340', '2424961', '000111252X', 'fr']
200 ['341', '148', '1113623', 'de']
200 ['342', '2424962', '1113623', 'fr']
200 ['343', '149', '1113844', 'de']
200 ['344', '2424963', '1113844', 'fr']
200 ['345', '150', '1115626', 'de']
200 ['346', '2424964', '1115626', 'fr']
200 ['347', '151', '1115707', 'de']
200 ['348', '2424965', '1115707', 'fr']
200 ['349', '152', '1117823', 'de']
200 ['350', '2424966', '1117823', 'fr']
200 ['351', '153', '1120409', 'de']
200 ['352', '2424967', '1120409', 'fr']
200 ['353', '154', '1120972', 'de']
200 ['354', '2424968', '1120972', 'fr']
200 ['355', '155', '1121790', 'de']
200 ['356', '2424969', '1121790', 'fr']
200 ['357', '156', '1123335', 'de']
200 ['358', '2424970', '1123335', 'fr']
200 ['359', '157', '1123734', 'de']
200 ['360', '2424971', '1123734', 'fr']
200 ['361', '158', '1126334', 'de']
200 ['363', '159', '1126350', 'de']
200 ['362', '2424972', '1126334', 'fr']
200 ['364', '2424973', '1126350', 'fr']
200 ['365', '160', '1128876', 'de']
200 ['366', '2424974', '1128876', 'fr']
200 ['367', '161', '1130072', 'de']
200 ['368', '2424975', '1130072', 'fr']
200 ['369', '162', '1130951', 'de']
200 ['370', '2424976', '1130951', 'fr']
200 ['371', '163', '1131273', 'de']
200 ['372', '2424977', '1131273', 'fr']
200 ['373', '164', '1131427', 'de']
